Scholarship Name,Provider,Eligibility,Benefits,Deadline,How to Apply,Documents Required,Application Mode,URL
Frédéric Bastiat Fellowship 2026-27,N/A,Graduate students,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/frederic-bastiat-fellowship-2026
Focus Area Science Technology Summer Fellowship 2026,N/A,North Eastern students,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/focus-area-science-technology-summer-fellowship-2026
"Chief Minister’s Fellowship Scheme (CMFS), Bihar 2026",N/A,Master’s degree holders,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/chief-ministers-fellowship-scheme-cmfs-bihar-2026
University of Glasgow India Excellence Award 2026,N/A,International students from India,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/university-of-glasgow-india-excellence-award-2026
Ashoka University Young India Fellowship 2026-27,N/A,Graduates and final-year undergraduate,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/ashoka-university-young-india-fellowship-2026
ACU International Student Accommodation Scholarship 2025-26,N/A,International students,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/acu-international-student-accommodation-scholarship-2025
HIIG Internet and Society Fellowship 2026,N/A,Innovative Researchers,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/hiig-internet-and-society-fellowship-2026
F. M. Kirby Foundation Internship Program 2026,N/A,"College sophomores, juniors, and seniors",N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/f-m-kirby-foundation-internship-program-2026
Ute and György Széll International PhD Scholarship 2026-27,N/A,PhD students,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/ute-and-gyorgy-szell-international-phd-scholarship-2026
Imperial College London Widening Participation Postgraduate Scholarship 2026-27,N/A,Postgraduate students,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/imperial-college-london-widening-participation-postgraduate-scholarship-2026
UCAS Scholarship for International Students 2026,N/A,International graduate and postgraduate students,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/ucas-scholarship-for-international-students
Odisha Banishree Scholarship 2026,N/A,Students with disabilities,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/odisha-banishree-scholarship-2026
UCL India Excellence Scholarship 2026-27,N/A,Master's degree applicants,N/A,Notification of scholarship result declaration,N/A,N/A,Check Scholarship Result,https://www.buddy4study.com/scholarship/ucl-india-excellence-scholarship-2026
