title,organization,location,stipend,skills_final,duration,posted_on,start_date,type,source,apply_link,scraped_at,content_hash,extra_data
AI Developer,"Talent Corner HR Services                        
Actively hiring",Mumbai,"₹ 2,000 - 5,000 /month","['Machine Learning', 'Problem Solving', 'Artificial intelligence', 'Generative AI Development', 'Artificial Intelligence Markup Language (AIML)', 'Generative AI Tools', 'AI Image Generation']",3 Months,,,Internship,Internshala,https://internshala.com/internship/detail/ai-developer-internship-in-mumbai-at-talent-corner-hr-services1770183263,2026-02-09T12:49:51.731104+00:00,,
Digital Media Marketing,"EROEI Tech Private Limited                        
Actively hiring",Bangalore,"₹ 10,000 - 15,000 /month","['Social Media Marketing', 'Content Marketing', 'Design Thinking', 'Research and Analytics', 'A/B Testing', 'Generative AI Tools', 'Prompt Engineering']",6 Months,2 weeks ago,,Internship,Internshala,https://internshala.com/internship/detail/ai-driven-social-media-content-analytics-optimization-internship-in-bangalore-at-eroei-tech-private-limited1769407031,2026-02-09T12:49:51.731816+00:00,,
Content Writing,"Unimonks                        
Actively hiring",Delhi,"₹ 3,500 - 10,000 /month","['Content Management', 'Artificial intelligence', 'Prompt Engineering']",3 Months,,,Internship,Internshala,https://internshala.com/internship/detail/content-writing-internship-in-delhi-at-unimonks1770290099,2026-02-09T12:49:51.732575+00:00,,
Game Art Developer,"SAS Group                        
Actively hiring",Work from home,"₹ 12,000 - 15,000 /month","['Adobe Photoshop', 'Adobe Illustrator', 'Autodesk Maya', 'Blender 3D', 'Unity Engine']",6 Months,2 weeks ago,,Internship,Internshala,https://internshala.com/internship/detail/work-from-home-game-art-developer-internship-at-sas-group1768912850,2026-02-09T12:49:51.733202+00:00,,
Artificial Intelligence,"Talent Corner HR Services                        
Actively hiring",Mumbai,"₹ 2,000 - 5,000 /month","['Machine Learning', 'Effective Communication', 'Generative AI Development', 'Machine Learning Operations (MLOps)', 'Generative AI Tools', 'AI Image Generation']",3 Months,,,Internship,Internshala,https://internshala.com/internship/detail/artificial-intelligence-internship-in-mumbai-at-talent-corner-hr-services1770183316,2026-02-09T12:49:51.733829+00:00,,
Robotics & AI Foundations,"Go Alpha Kids                        
Actively hiring","Hyderabad, Bangalore","₹ 5,000 - 10,000 /month","['Creative Thinking', 'Problem Solving']",6 Weeks,Few hours ago,,Internship,Internshala,https://internshala.com/internship/detail/part-time-robotics-ai-foundations-internship-in-multiple-locations-at-go-alpha-kids1770630039,2026-02-09T12:49:51.734410+00:00,,
Artificial Intelligence (AI),"Flipspaces                        
Actively hiring",Work from home,"₹ 10,000 - 15,000 /month","['Machine Learning', 'Deep Learning', 'Artificial intelligence', 'Clip Studio Paint', 'PyTorch', 'Machine Learning Operations (MLOps)', 'Hugging Face']",3 Months,Just now,,Internship,Internshala,https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-flipspaces1770634403,2026-02-09T12:49:51.735073+00:00,,
N8n Automation & AI Agents For Video And Avatars,"TZURONI LTD. (Kefar Sava, Israel)                        
Actively hiring",Work from home,"₹ 5,000 - 7,000 /month","['Python', 'Microsoft Azure']",6 Months,Few hours ago,,Internship,Internshala,https://internshala.com/internship/detail/work-from-home-part-time-n8n-automation-ai-agents-for-video-and-avatars-internship-at-tzuroni-ltd1770610273,2026-02-09T12:49:51.735647+00:00,,
Artificial Intelligence (AI),"MINDTEL GLOBAL PRIVATE LIMITED                        
Actively hiring",Noida,"₹ 7,000 - 10,000 /month","['Python', 'Machine Learning', 'React', 'Natural Language Processing (NLP)', 'Artificial intelligence', 'Effective Communication', 'Generative AI Development']",6 Months,Few hours ago,,Internship,Internshala,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-noida-at-mindtel-global-private-limited1770629323,2026-02-09T12:49:51.736316+00:00,,
Operations Associate (Content And AI Automation),"Kayno World Education Private Limited                        
Actively hiring",Work from home,"₹ 5,000 - 8,000 /month","['CMS (Content Management System)', 'Content Management', 'Image Editing', 'Quality Assurance/Quality Control (QA/QC)', 'Prompt Engineering']",3 Months,Few hours ago,,Internship,Internshala,https://internshala.com/internship/detail/work-from-home-operations-associate-content-and-ai-automation-internship-at-kayno-world-education-private-limited1770611916,2026-02-09T12:49:51.737164+00:00,,
AI & Gen AI Engineers To Shape Next-Gen Entertainment,"Hungama Digital Media Entertainment Private Limited                        
Actively hiring","Mumbai, Noida","₹ 25,000 - 50,000 /month","['Artificial intelligence', 'Generative AI Tools']",6 Months,1 week ago,,Internship,Internshala,https://internshala.com/internship/detail/ai-gen-ai-engineers-to-shape-next-gen-entertainment-internship-in-multiple-locations-at-hungama-digital-media-entertainment-private-limited1769496080,2026-02-09T12:49:51.739238+00:00,,
Digital Marketing,Everest Fleet Private Limited,Bangalore,"₹ 6,000 - 8,000 /month","['Social Media Marketing', 'Search Engine Marketing (SEM)', 'Digital Marketing', 'Search Engine Optimization (SEO)', 'Facebook Marketing', 'Creative Writing', 'English Proficiency (Spoken)']",6 Months,3 weeks ago,,Internship,Internshala,https://internshala.com/internship/detail/digital-marketing-internship-in-bangalore-at-everest-fleet-private-limited1768449910,2026-02-09T12:49:51.740639+00:00,,
Robotics & AI Foundations,"Go Alpha Kids                        
Actively hiring","Pune, Mumbai","₹ 5,000 - 10,000 /month","['Creative Thinking', 'Problem Solving']",6 Weeks,,,Internship,Internshala,https://internshala.com/internship/detail/part-time-robotics-ai-foundations-internship-in-multiple-locations-at-go-alpha-kids1770268712,2026-02-09T12:49:51.743738+00:00,,
AI Agent Development,"Amber Flux Private Limited                        
Actively hiring",Work from home,"₹ 9,999 - 10,000 /month","['Python', 'Git', 'Docker', 'Microsoft Azure', 'React', 'REST API', 'React Native']",2 Months,Few hours ago,,Internship,Internshala,https://internshala.com/internship/detail/work-from-home-part-time-ai-agent-development-internship-at-amber-flux-private-limited1770611811,2026-02-09T12:49:51.744702+00:00,,
