title,organization,location,duration,stipend,skills_final,posted_on,start_date,type,source,apply_link,scraped_at,content_hash,extra_data
SDE Backend Intern,Upstox,Mumbai Metropolitan Region,,,"['APIs', 'Algorithms', 'Artificial Intelligence', 'Data Structures', 'Databases', 'Python', 'SQL']",2 weeks ago,,internship,LinkedIn,https://in.linkedin.com/jobs/view/sde-backend-intern-at-upstox-4364764915?position=1&pageNum=0&refId=Y8Ragws3VGLVdleg5W2JDA%3D%3D&trackingId=xLvdpj7fnmd1HmD26mdy2A%3D%3D,2026-03-04 22:28:58,e77a876698fe2ef6d5f8a56e00f68aa7,
Software Engineering INTERN,Microsoft,"Bengaluru, Karnataka, India",,,"['Algorithms', 'Data Structures', 'Java', 'Programming', 'Python']",6 days ago,,internship,LinkedIn,https://in.linkedin.com/jobs/view/software-engineering-intern-at-microsoft-4378348348?position=2&pageNum=0&refId=Y8Ragws3VGLVdleg5W2JDA%3D%3D&trackingId=TD19zb7upBtYU0lKGzTEng%3D%3D,2026-03-04 22:28:58,beba3b810d7dac9e5db3740c5d392051,
Intern - Software Engineer,Deepwatch,"Bengaluru, Karnataka, India",,,"['Algorithms', 'Data Structures', 'Java', 'Programming', 'Python']",1 day ago,,internship,LinkedIn,https://in.linkedin.com/jobs/view/intern-software-engineer-at-deepwatch-4380186925?position=3&pageNum=0&refId=Y8Ragws3VGLVdleg5W2JDA%3D%3D&trackingId=akRYjPnH0HB303HefTcJOg%3D%3D,2026-03-04 22:28:58,2fe1deba38a881f49dec719e4857fe76,
Software Engineer Internship in Noida,Bosscoder Academy,"Noida, Uttar Pradesh, India",,,"['Algorithms', 'Data Structures', 'Java', 'Programming', 'Python']",6 days ago,,internship,LinkedIn,https://in.linkedin.com/jobs/view/software-engineer-internship-in-noida-at-bosscoder-academy-4378044837?position=4&pageNum=0&refId=Y8Ragws3VGLVdleg5W2JDA%3D%3D&trackingId=EnCtNVHETcwQyl9%2FHTpm1w%3D%3D,2026-03-04 22:28:58,e4cbda9246c83c537fbbf160f9b9e176,
Internship For Software Engineers - Freshers,Faveo,"Virajpet, Karnataka, India",,,"['Algorithms', 'Data Structures', 'Java', 'Programming', 'Python']",1 month ago,,internship,LinkedIn,https://in.linkedin.com/jobs/view/internship-for-software-engineers-freshers-at-faveo-4370792829?position=5&pageNum=0&refId=Y8Ragws3VGLVdleg5W2JDA%3D%3D&trackingId=cWQ%2FNC%2BJcq46okPJiiTEbA%3D%3D,2026-03-04 22:28:58,61630e70d16c5996d08045f4e207b320,
Software Engineering Explore Intern,Microsoft,India,,,"['Algorithms', 'Data Structures', 'Java', 'Programming', 'Python']",1 week ago,,internship,LinkedIn,https://in.linkedin.com/jobs/view/software-engineering-explore-intern-at-microsoft-4377825940?position=6&pageNum=0&refId=Y8Ragws3VGLVdleg5W2JDA%3D%3D&trackingId=aknF9PoaWsY93DYsZn6p2g%3D%3D,2026-03-04 22:28:58,a6e7718e38f95864c1eadd0f37e4b86a,
Software Development Intern (Fully Remote),Virtual Internships,"Bengaluru, Karnataka, India",,,,6 days ago,,internship,LinkedIn,https://in.linkedin.com/jobs/view/software-development-intern-fully-remote-at-virtual-internships-4378381638?position=7&pageNum=0&refId=Y8Ragws3VGLVdleg5W2JDA%3D%3D&trackingId=4DVxu3DrR1K4z4yP3xAUCw%3D%3D,2026-03-04 22:28:58,5d76b3779e94debc7145a708369d221d,
Internship For Software Engineers - Freshers,Faveo,"Dharmapuri, Tamil Nadu, India",,,"['Algorithms', 'Data Structures', 'Java', 'Programming', 'Python']",1 month ago,,internship,LinkedIn,https://in.linkedin.com/jobs/view/internship-for-software-engineers-freshers-at-faveo-4371100501?position=8&pageNum=0&refId=Y8Ragws3VGLVdleg5W2JDA%3D%3D&trackingId=%2FCstsTZdAfj7lQhb5ln%2Bcg%3D%3D,2026-03-04 22:28:58,32fe8b2d4e0d5959392dec3fc9862175,
SDE Intern (Founding Team) | AI x Interview Prep | Remote,Thita AI,"Bengaluru, Karnataka, India",,,"['Algorithms', 'Artificial Intelligence', 'Data Structures', 'Python']",2 weeks ago,,internship,LinkedIn,https://in.linkedin.com/jobs/view/sde-intern-founding-team-ai-x-interview-prep-remote-at-thita-ai-4372842375?position=9&pageNum=0&refId=Y8Ragws3VGLVdleg5W2JDA%3D%3D&trackingId=hJmuw2Yhf1z6SOSSABX5GQ%3D%3D,2026-03-04 22:28:58,a9ee6a3c2c3973eb6df32b5644c2cdc0,
SDE Intern,Expound Technivo,"Mumbai, Maharashtra, India",,,"['Algorithms', 'Artificial Intelligence', 'Data Structures', 'Python']",1 year ago,,internship,LinkedIn,https://in.linkedin.com/jobs/view/sde-intern-at-expound-technivo-4139841162?position=10&pageNum=0&refId=Y8Ragws3VGLVdleg5W2JDA%3D%3D&trackingId=7RATzSMBC8Ij7Z%2F1ATaPUA%3D%3D,2026-03-04 22:28:58,c23b3a3e10540c75aae30f1d5be8540b,
