title,organization,location,duration,stipend,skills_final,posted_on,start_date,type,source,apply_link,scraped_at,content_hash,extra_data
Artificial Intelligence Intern (Vibe Coding),Leading Management Consultant,Remote,,,"['Artificial Intelligence', 'R']",Starts within 1 month,,Internship,naukri.com,https://www.naukri.com/job-listings-artificial-intelligence-intern-vibe-coding-freelancer-pune-0-to-1-years-280226015085,2026-03-04T17:30:14.443413,99e5802e329891b8d2bbffb4d931051543e29ba7e9a40e496ab13a2c323f2a22,
Artificial Intelligence Intern,Meena Bazaar,New Delhi(Sarojini Nagar),,,"['Artificial Intelligence', 'R']",Starts within 1 month,,Internship,naukri.com,https://www.naukri.com/job-listings-artificial-intelligence-intern-meena-bazaar-new-delhi-0-to-1-years-200226011927,2026-03-04T17:30:14.444090,bad29195522f18dd5582c7b207145480fd459bae263bc2dd2d90d33201c98359,
Artificial Intelligence (AI) Intern 1 Position,Unikwork,Surat,,,"['Artificial Intelligence', 'R']",Starts in 1-3 months,,Internship,naukri.com,https://www.naukri.com/job-listings-artificial-intelligence-ai-intern-1-position-unikwork-systems-surat-0-to-1-years-260625503684,2026-03-04T17:30:14.444449,6e5435c35012c87b6e8a0b2c67d72ba5bfc26fe8efa020d99bcfb29e912f136e,
Artificial Intelligence (Gen AI) Intern,Cloud Counselage,Mumbai,,,"['Artificial Intelligence', 'Cloud Computing', 'Generative AI', 'R']",Starts in 1-3 months,,Internship,naukri.com,https://www.naukri.com/job-listings-artificial-intelligence-gen-ai-intern-cloud-counselage-pvt-ltd-mumbai-0-to-3-years-301225508088,2026-03-04T17:30:14.444854,f34badc560227f1ca6b84d5d1b1ff98b07b7deae6195fa9ceafa12387df8d20d,
Artificial Intelligence Intern,Pay10India,New Delhi(Lajpat Nagar IV),,,"['Artificial Intelligence', 'R']",Starts within 1 month,,Internship,naukri.com,https://www.naukri.com/job-listings-artificial-intelligence-intern-pay10india-new-delhi-0-to-1-years-120226032034,2026-03-04T17:30:14.445232,e5b98a32d6e017941e9b4881ff0ba7c2ce02c9949e7c51813e7350378d2b8b27,
ARTIFICIAL INTELLIGENCE Professional,Godigi Infotech,Mumbai,,,"['Artificial Intelligence', 'R']",Starts in 1-3 months,,Internship,naukri.com,https://www.naukri.com/job-listings-artificial-intelligence-professional-godigi-infotech-mumbai-0-to-1-years-151225501381,2026-03-04T17:30:14.445606,3db6c1ea149a75f5360373f37b98ae39b6e264010341e1d31004fbf13d464b96,
Associate Machine Learning Engineer Internship,Pragyashal,Bengaluru,,,"['Machine Learning', 'R']",Starts in 1-3 months,,Internship,naukri.com,https://www.naukri.com/job-listings-associate-machine-learning-engineer-internship-pragyashal-bengaluru-0-to-1-years-010925502315,2026-03-04T17:30:14.446047,2e8aeda10ab47e4a0addc966254192cbe98690f7fce995fa0d97ce824e669286,
Data Science Intern,Analytics Vidhya,Gurugram,,,"['Analytics', 'Data Science', 'R']",Starts in 1-3 months,,Internship,naukri.com,https://www.naukri.com/job-listings-data-science-intern-analytics-vidhya-educon-pvt-ltd-gurugram-0-to-1-years-071025503535,2026-03-04T17:30:14.446414,57018a363a05c441422ed9fa88e95f4822381f90a83d8a9309821018ca6ad4f1,
Deep Learning / Machine Learning / Data Scientist Intern,Pivotchain Solutions,Pune,,,"['Artificial Intelligence', 'Data Science', 'Deep Learning', 'Machine Learning', 'R']",Starts in 1-3 months,,Internship,naukri.com,https://www.naukri.com/job-listings-deep-learning-machine-learning-data-scientist-intern-pivotchain-pune-0-to-2-years-111224502998,2026-03-04T17:30:14.446807,3d6d01a4f989ca56da45e2ae23e2d0cfd6e7a0c3feee6742e4f8da3f7755f73b,
Intern - Data Engineer & AI/ML,Inorg,Pune,,,"['Artificial Intelligence', 'Data Engineering', 'Machine Learning', 'R']",Starts in 1-3 months,,Internship,naukri.com,https://www.naukri.com/job-listings-intern-data-engineer-ai-ml-inorg-global-pune-0-to-1-years-230525502703,2026-03-04T17:30:14.447512,7d96186435281141146fad7f5f343c5416f590c89feeb617b9a5aa7106c8192f,
Artificial Intelligence (CoPilot AI) Intern,Cloud Counselage,Mumbai,,,"['Artificial Intelligence', 'Cloud Computing', 'R']",Starts in 1-3 months,,Internship,naukri.com,https://www.naukri.com/job-listings-artificial-intelligence-copilot-ai-intern-cloud-counselage-pvt-ltd-mumbai-0-to-3-years-301225507914,2026-03-04T17:30:14.448156,dbb21ca4d2327d66246489b572f9a187e4cdf153fb748d10a05da4b5824620c7,
Generative & Agentic AI Engineering Internship,Novizco Infotech,Hybrid - Bengaluru,,,"['AI Engineering', 'Agentic AI', 'Artificial Intelligence', 'R']",Starts within 1 month,,Internship,naukri.com,https://www.naukri.com/job-listings-generative-agentic-ai-engineering-internship-novizco-infotech-bengaluru-0-to-1-years-040226017419,2026-03-04T17:30:14.448710,dbb3fe4f48c0a7f9bf77de1f68a83ca48cc95a73a1b47fe2b2ed9575c5616672,
Data & AI Intern,Artify Talent Studio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,"['Artificial Intelligence', 'R']",Starts in 1-3 months,,Internship,naukri.com,https://www.naukri.com/job-listings-data-ai-intern-artify-talent-studio-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-2-years-280525501797,2026-03-04T17:30:14.449104,a56acf52131ee16d4b259eabbdcb582c1ae6b8acba218ca123ae1a43e6ea6efa,
Data Analytics and AI Intern,Artify Talent Studio,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,"['Analytics', 'Artificial Intelligence', 'Data Analytics', 'R']",Starts in 1-3 months,,Internship,naukri.com,https://www.naukri.com/job-listings-data-analytics-and-ai-intern-artify-talent-studio-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-280525501502,2026-03-04T17:30:14.449681,b2964046aff5b6717eba36a08531513e982b2e72a4c96af96002ebbd9182a7ad,
AI & Data Intern,Prudent Globaltech Solutions,Hyderabad,,,"['Artificial Intelligence', 'R']",Starts in 1-3 months,,Internship,naukri.com,https://www.naukri.com/job-listings-ai-data-intern-prudent-globaltech-solutions-private-limited-hyderabad-0-to-1-years-250226502512,2026-03-04T17:30:14.450077,a455939ffcf23804be0f1f9cc9b425cfecf850b13d4490ddefb432a90fd1f4b0,
AI Intern,Dure Technologies,Thane,,,"['Artificial Intelligence', 'R']",Starts within 1 month,,Internship,naukri.com,https://www.naukri.com/job-listings-ai-intern-dure-technologies-thane-0-to-1-years-220825014018,2026-03-04T17:30:14.450472,8997170460352d093d0186e4ea0b71166a471a84d8a49390e571b21b65151e6d,
