title,provider,source,category,eligibility_text,amount,deadline,apply_url
ASPIRE LEADERS PROGRAM 2026,Buddy4Study Partner,Buddy4Study,General,First-generation learners,"Free access to training modules, live sessions by Havard faculty",,https://www.buddy4study.com/page/aspire-leaders-program
COLLEGE BOARD 90% FEE WAIVER PROGRAM,Buddy4Study Partner,Buddy4Study,General,Class 11 and 12,Tuition fee waiver,21 May 2026,https://www.buddy4study.com/collegeboard
NURTR NURTURING MINDS WITH CHESS PROGRAM (90% FEE WAIVER) 2025-26,Buddy4Study Partner,Buddy4Study,General,School or college students under the age range of 5 to 25 years,90% fee waiver,31 March 2026,https://www.buddy4study.com/nurtneo
BUDDY4STUDY PSYCHOMETRIC TEST,Buddy4Study Partner,Buddy4Study,General,Candidates must have passed Class 10 or must be pursuing higher education.,"Report, certificate & many more",31 March 2026,https://www.buddy4study.com/page/buddy4study-career-test
IITM SUMMER FELLOWSHIP PROGRAMME 2026,Buddy4Study Partner,Buddy4Study,General,UG and PG students,"₹15,000 per month",,https://www.buddy4study.com/scholarship/iitm-summer-fellowship-programme-2026
SOAS UNIVERSITY OF LONDON FELIX SCHOLARSHIPS 2026-27,Buddy4Study Partner,Buddy4Study,General,Master's applicants,"Tuition fees, living costs and airfare",,https://www.buddy4study.com/scholarship/soas-university-of-london-felix-scholarships-2026
SCHNEIDER SCHOLAR PROGRAM,Buddy4Study Partner,Buddy4Study,General,For female students across India,"Scholarship up to ₹50,000",,https://www.buddy4study.com/page/schneider-electric-india-foundation
"PRESIDENT'S PHD SCHOLARSHIPS, IMPERIAL COLLEGE LONDON 2026-27",Buddy4Study Partner,Buddy4Study,General,Ph.D. applicants,Fully funded tuition with other benefits,,https://www.buddy4study.com/scholarship/presidents-phd-scholarships-imperial-college-london-2026
VIVO KANYAGYAAN SCHOLARSHIP PROGRAM 2025-26,Buddy4Study Partner,Buddy4Study,General,For girl students enrolled in UG STEM courses,"Fixed scholarship of INR 60,000 per year for 3 years",,https://www.buddy4study.com/page/vivo-kanya-gyaan-scholarship-program
"POST-MATRIC SCHOLARSHIP FOR ST, SC AND MBC STUDENTS, ODISHA 2025-26",Buddy4Study Partner,Buddy4Study,General,Postmatric students,Financial assistance for pursuing higher education,,https://www.buddy4study.com/scholarship/postmatric-scholarship-for-st-sc-and-mbc-students-odisha-2025
FULBRIGHT TEACHING EXCELLENCE AND ACHIEVEMENT PROGRAM 2026-27,Buddy4Study Partner,Buddy4Study,General,Full-time school teachers,Variable awards,,https://www.buddy4study.com/scholarship/fulbright-teaching-excellence-and-achievement-program-2026
BGM FOUNDATION PASHU-SEVA SCHOLARSHIP PROGRAM 2025–26 (FOR DIPLOMA COURSES),Buddy4Study Partner,Buddy4Study,General,"For full-time graduate, professional degree & Diploma students","Award of up to INR 75,000",,https://www.buddy4study.com/page/bgm-pashu-seva-scholarship-program
CSIR-CCMB SUMMER TRAINING PROGRAM 2026,Buddy4Study Partner,Buddy4Study,General,Students from all branches of life sciences,Research experience and mentorship from CCMB scientists,,https://www.buddy4study.com/scholarship/csir-ccmb-summer-training-program-2026
BGM FOUNDATION PASHU-SEVA SCHOLARSHIP PROGRAM 2025–26 (FOR GENERAL / PROFESSIONAL GRADUATION),Buddy4Study Partner,Buddy4Study,General,"For full-time graduate, professional degree & Diploma students","Award of up to INR 75,000",,https://www.buddy4study.com/page/bgm-pashu-seva-scholarship-program
MYNVIDYA: MYNTRA CARES SCHOLARSHIP PROGRAM FOR UPSKILLING PROGRAM STUDENTS,Buddy4Study Partner,Buddy4Study,General,For NSDC artisan upskilling program students,"Scholarship of INR 20,000 per year",,https://www.buddy4study.com/page/mynvidhya-myntra-cares-scholarship-program
MYNVIDYA: MYNTRA CARES SCHOLARSHIP PROGRAM FOR CHILDREN OF ARTISAN FAMILIES,Buddy4Study Partner,Buddy4Study,General,For Children of Artisan Families,"Scholarship of INR 20,000 per year",,https://www.buddy4study.com/page/mynvidhya-myntra-cares-scholarship-program
BGM FOUNDATION PASHU-SEVA SCHOLARSHIP PROGRAM 2025–26 (FOR GENERAL / PROFESSIONAL POST-GRADUATION),Buddy4Study Partner,Buddy4Study,General,"For full-time graduate, professional degree & Diploma students","Award of up to INR 75,000",,https://www.buddy4study.com/page/bgm-pashu-seva-scholarship-program
TATA CAPITAL PANKH SCHOLARSHIP PROGRAM FOR CLASS 11 AND 12 STUDENTS (2025–26),Buddy4Study Partner,Buddy4Study,General,For class 11 students,"Scholarship up to INR 15,000",,https://www.buddy4study.com/page/the-tata-capital-pankh-scholarship-programme
TATA CAPITAL PANKH SCHOLARSHIP PROGRAM FOR GENERAL GRADUATION / POLYTECHNIC / DIPLOMA / ITI STUDENTS (2025–26),Buddy4Study Partner,Buddy4Study,General,For students pursuing Diploma/Polytechnic or general graduation,"Scholarship up to INR 18,000",,https://www.buddy4study.com/page/the-tata-capital-pankh-scholarship-programme
TATA CAPITAL PANKH SCHOLARSHIP PROGRAM FOR SPECIALISED DISCIPLINE PROGRAMME (2025–26),Buddy4Study Partner,Buddy4Study,General,For students pursuing professional courses,"Scholarship up to INR 1,00,000",,https://www.buddy4study.com/page/the-tata-capital-pankh-scholarship-programme
MYNVIDYA: MYNTRA CARES SCHOLARSHIP PROGRAM FOR CHILDREN OF GARMENT WORKERS,Buddy4Study Partner,Buddy4Study,General,For children of garment workers,"Scholarship of INR 20,000 per year",,https://www.buddy4study.com/page/mynvidhya-myntra-cares-scholarship-program
