title,provider,source,category,eligibility_text,amount,deadline,apply_url,
Assistance to Meritorious Students scholarship - Junior Level,Directorate of Higher Education,MahaDBT,Merit Based,Students in Junior Level; minimum 55% marks required for renewal; must be among SSC merit rankers.,"Reimbursement of various fees (Admission, session, library, etc.) + Rs. 150/month meal allowance + Rs. 300-Rs. 1000/year book allowance.",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Assistance to Meritorious Students scholarship - Senior Level,Directorate of Higher Education,MahaDBT,Merit Based,Students in Senior Level; minimum 65% marks required for renewal; must be among HSC merit rankers.,"Reimbursement of various fees (Admission, session, library, etc.) + Rs. 150/month meal allowance + Rs. 300-Rs. 1000/year book allowance.",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Dr Panjabrao Deshmukh Hostel Maintenance Allowance,Directorate of Medical Education and Research,MahaDBT,General / Hostel,Medical/Health Science students in Govt or Aided colleges residing in a hostel.,"Rs. 4,000 per year (baseline hostel fee).",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Dr Panjabrao Deshmukh Vastigruh Nirvah Bhatta Yojna(DTE),Directorate of Technical Education,MahaDBT,General / Hostel,DTE professional course students; children of Registered Laborers or Small Landholders (Alpabhudharak) staying in a hostel.,"Rs. 30,000 (Metro) / Rs. 20,000 (Other) for laborers' children; Rs. 10,000 (Metro) / Rs. 8,000 (Other) for others per year.",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (AGR),"Mahatma Phule Krishi Vidyapeeth, Rahuri",MahaDBT,General / Hostel,Agriculture professional course students; children of Registered Laborers or Small Landholders (Alpabhudharak) staying in a hostel.,"Rs. 30,000 (Metro) / Rs. 20,000 (Other) for laborers' children; Rs. 10,000 (Metro) / Rs. 8,000 (Other) for others per year.",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DOA),Directorate of Art,MahaDBT,General / Hostel,Fine Arts professional course students; children of Registered Laborers or Small Landholders (Alpabhudharak) staying in a hostel.,"Rs. 8,000 to Rs. 30,000 per year depending on city and parent's occupation.",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (MAFSU),MAFSU Nagpur,MahaDBT,General / Hostel,MAFSU professional course students; children of Registered Laborers or Small Landholders (Alpabhudharak) staying in a hostel.,"Rs. 30,000 (Metro) / Rs. 20,000 (Other) for laborers' children; Rs. 10,000 (Metro) / Rs. 8,000 (Other) for others per year.",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE),Directorate of Higher Education,MahaDBT,General / Hostel,DHE course students; children of Registered Laborers or Small Landholders (Alpabhudharak) staying in a hostel.,"Rs. 30,000 (Metro) / Rs. 20,000 (Other) for laborers' children; Rs. 10,000 (Metro) / Rs. 8,000 (Other) for others per year.",3/31/2026,https://mahadbt.maharashtra.gov.in/,
Education Concession to the Children Freedom Fighter,Directorate of Higher Education,MahaDBT,General,Children of Freedom Fighters; transition to DBT portal for efficient fund transfer.,Fee concessions and reimbursement of approved educational costs.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
Education Concession to the Children of Ex-Servicemen,Directorate of Higher Education,MahaDBT,General,Children of Ex-Servicemen; transition to DBT portal for efficient fund transfer.,Fee concessions and reimbursement of approved educational costs.,3/31/2026,https://mahadbt.maharashtra.gov.in/,
